[15-Mar-2026 21:31:49 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:32:49 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:33:50 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:34:51 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:35:52 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:36:55 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:37:50 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:38:57 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:39:55 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:40:57 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:41:58 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:43:01 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:44:00 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:45:01 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[15-Mar-2026 21:46:02 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[15-Mar-2026 21:47:04 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:48:05 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[15-Mar-2026 21:49:05 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[15-Mar-2026 21:50:06 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:51:09 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:52:09 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:53:10 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:54:10 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:55:12 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:56:12 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:57:13 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:58:14 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 21:59:15 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 22:00:17 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[15-Mar-2026 22:01:14 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
